-0.950,0.320
0.508,-0.250
0.424,-0.397
0.356,0.418
0.242,0.913
0.319,0.918
-0.494,-0.825
-0.834,0.652
-0.100,0.992
-0.954,0.426
0.559,-0.092
1.039,0.240
-1.013,-0.193
0.428,-0.271
0.537,-0.975
0.501,-0.920
-0.201,-0.506
0.102,0.501
0.838,0.578
-0.514,0.860
0.419,-0.894
-0.141,-0.462
-0.296,0.400
0.534,0.167
-0.199,0.477
-0.219,-0.484
0.416,0.879
0.250,0.406
0.048,0.415
0.626,0.806
0.299,-0.384
-0.623,-0.760
-0.177,-0.444
0.082,0.491
0.094,-0.915
0.248,0.416
0.104,0.409
-0.797,0.623
0.171,0.568
0.533,-0.889
0.435,0.152
0.326,-0.434
0.418,-0.033
0.338,0.953
0.899,-0.006
0.484,-0.156
1.081,-0.192
-0.435,-0.938
-0.762,0.565
-0.628,0.788
0.471,-0.164
0.739,0.648
0.620,-0.779
-0.274,0.482
0.807,-0.533
-0.968,0.356
0.280,-0.924
0.671,0.716
0.413,0.301
-0.502,0.278
0.247,0.406
-0.367,0.226
-0.083,0.532
-0.372,0.235
0.788,0.558
0.408,0.309
-0.189,-1.064
-0.267,0.973
-0.607,-0.907
-0.310,-0.463
0.130,0.528
0.797,0.671
-0.688,0.721
0.026,-0.420
-0.262,-0.349
-0.074,0.451
0.020,0.999
0.186,-0.583
0.309,-0.368
0.481,0.064
0.703,-0.718
-0.220,-0.495
-0.930,0.057
0.530,-0.029
-0.851,0.608
0.508,-0.238
0.134,-0.402
0.493,-0.068
-0.493,-0.128
0.626,0.810
0.552,0.792
0.043,-0.489
-0.293,-0.419
0.192,-0.399
1.070,0.340
-0.892,0.072
0.703,-0.726
0.049,-0.993
0.521,0.004
0.179,-0.514
-0.511,-0.084
-0.505,0.031
-0.832,-0.358
0.061,0.541
0.747,-0.793
-0.318,1.059
-0.180,0.945
0.460,0.934
-0.844,-0.609
0.896,-0.564
-0.127,-0.451
0.659,0.557
0.168,0.550
0.830,0.479
0.609,0.061
0.895,-0.343
-0.834,-0.634
-0.193,0.429
0.909,0.340
0.594,0.184
0.292,0.433
-0.905,-0.454
-0.863,0.551
-0.045,-0.868
0.622,0.030
-0.450,0.970
0.072,-0.503
0.059,0.526
-0.402,-0.422
-0.088,-0.434
0.814,0.676
-0.386,0.374
-0.478,-0.087
0.495,-0.308
-0.073,-0.462
0.218,0.579
0.621,-0.744
-0.468,0.361
-0.824,-0.368
-0.476,0.855
-0.864,-0.452
-0.519,0.049
-0.898,-0.424
0.402,0.418
-0.053,-0.965
-0.805,-0.659
-0.496,-0.186
-0.726,0.722
-0.056,0.475
0.470,0.217
0.673,-0.631
0.493,-0.060
0.037,0.489
0.351,-0.426
0.338,0.908
-0.087,0.576
-0.360,0.402
0.188,-0.464
-0.274,-0.480
0.518,0.883
0.040,0.952
-0.230,-0.957
-0.473,0.248
-0.720,0.703
-0.630,0.804
0.383,0.075
0.072,0.984
0.944,0.456
-0.287,1.014
-0.641,0.743
0.292,-1.010
-0.465,-0.823
0.280,0.847
-0.456,-0.293
0.588,0.202
-0.275,0.521
-0.782,-0.530
-0.030,0.498
-0.346,0.363
0.437,0.923
0.263,0.397
-0.301,0.355
0.234,-0.347
0.273,-0.881
0.499,0.226
-0.731,-0.695
-0.490,0.893
-0.543,-0.007
0.466,-0.181
0.799,-0.559
-0.136,-0.413
-0.479,0.267
-0.463,0.085
-0.526,-0.144
0.561,0.109
